39, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States, <=50K
33, State-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
17, Private, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
28, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,6849,0,60, United-States, <=50K
52, Local-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
34, Private, HS-grad,9, Separated, Handlers-cleaners, Not-in-family, White, Male,2463,0,40, United-States, <=50K
25, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
17, Private, 9th,5, Never-married, Other-service, Own-child, Black, Male,0,0,26, United-States, <=50K
22, Private, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,80, United-States, <=50K
22, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
46, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States, >50K
58, Private, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
39, Private, Some-college,10, Divorced, Sales, Other-relative, White, Female,0,0,35, United-States, <=50K
59, Local-gov, Some-college,10, Widowed, Other-service, Not-in-family, White, Female,0,0,40, Poland, <=50K
61, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
50, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines, >50K
51, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors,13, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
20, Private, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
38, Local-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
44, Federal-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
28, Private, Assoc-voc,11, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
50, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
42, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
47, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, India, <=50K
39, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K
38, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, State-gov, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
40, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
63, Private, Some-college,10, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
53, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
43, Private, Assoc-voc,11, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
28, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,1669,60, United-States, <=50K
68, Private, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,10, United-States, >50K
22, Private, 7th-8th,4, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Mexico, <=50K
46, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, <=50K
57, Private, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
66, Private, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
54, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7688,0,50, United-States, >50K
38, Private, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, 11th,7, Separated, Priv-house-serv, Unmarried, White, Female,0,0,8, Mexico, <=50K
30, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,37, United-States, <=50K
39, Private, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
50, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
30, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors,13, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,40, France, <=50K
59, Local-gov, HS-grad,9, Separated, Protective-serv, Other-relative, Black, Female,0,2339,40, United-States, <=50K
45, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,15, United-States, <=50K
64, Private, 5th-6th,3, Separated, Other-service, Other-relative, White, Female,0,0,20, Cuba, <=50K
61, Private, 12th,8, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
42, Private, Assoc-voc,11, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
53, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, 11th,7, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,7, United-States, <=50K
34, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
41, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,48, United-States, <=50K
67, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,9386,0,24, Cuba, >50K
46, Private, Assoc-acdm,12, Widowed, Prof-specialty, Unmarried, White, Female,0,0,27, United-States, <=50K
32, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Private, HS-grad,9, Divorced, Other-service, Unmarried, Black, Male,0,0,40, United-States, <=50K
20, Private, HS-grad,9, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K
34, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,30, United-States, <=50K
17, Private, HS-grad,9, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
45, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,48, United-States, <=50K
21, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,41, United-States, <=50K
17, Private, 11th,7, Never-married, Craft-repair, Own-child, White, Female,0,0,15, United-States, <=50K
35, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
38, Private, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Local-gov, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,56, United-States, >50K
25, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, Japan, <=50K
57, Private, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Cuba, <=50K
32, Private, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
39, Local-gov, Bachelors,13, Separated, Prof-specialty, Not-in-family, Black, Male,0,0,30, United-States, <=50K
23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
21, Private, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,45, United-States, <=50K
47, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,48, United-States, <=50K
25, Private, 7th-8th,4, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,40, Dominican-Republic, <=50K
18, Private, 11th,7, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
41, Federal-gov, Some-college,10, Married-spouse-absent, Adm-clerical, Not-in-family, Black, Male,4650,0,40, United-States, <=50K
19, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
24, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,42, United-States, <=50K
57, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
51, Private, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,0,2824,40, United-States, >50K
32, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,75, United-States, >50K
21, State-gov, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
45, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 12th,8, Never-married, Prof-specialty, Own-child, White, Female,0,0,25, United-States, <=50K
55, Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
42, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
49, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,38, United-States, <=50K
38, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States, >50K
43, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, United-States, <=50K
39, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Canada, >50K
42, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
32, Private, HS-grad,9, Divorced, Craft-repair, Other-relative, Black, Female,0,0,50, United-States, <=50K
44, Federal-gov, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Female,2354,0,40, United-States, <=50K
50, Self-emp-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,80, United-States, >50K
55, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
37, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
59, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, 12th,8, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,32, United-States, <=50K
35, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
57, State-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
18, Private, 11th,7, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
43, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
18, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, United-States, <=50K
47, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Self-emp-not-inc, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, >50K
35, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, <=50K
49, Private, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,60, England, <=50K
36, State-gov, Masters,14, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, United-States, <=50K
29, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
52, Private, 10th,6, Divorced, Other-service, Other-relative, White, Female,0,0,25, United-States, <=50K
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States, <=50K
31, Private, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, Mexico, <=50K
33, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,15, United-States, <=50K
62, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,1974,40, United-States, <=50K
46, Private, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, <=50K
55, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States, >50K
49, Federal-gov, HS-grad,9, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,20, United-States, <=50K
22, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, <=50K
43, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38, United-States, >50K
58, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, <=50K
48, State-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
21, Private, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,50, United-States, <=50K
67, Local-gov, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
39, Self-emp-not-inc, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
52, Federal-gov, Assoc-voc,11, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
41, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, >50K
59, Private, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, Assoc-acdm,12, Never-married, Other-service, Own-child, Black, Male,0,0,44, United-States, <=50K
42, Private, HS-grad,9, Divorced, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
54, Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, >50K
39, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
57, Local-gov, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, 10th,6, Divorced, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
31, Self-emp-not-inc, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college,10, Married-spouse-absent, Adm-clerical, Own-child, Black, Female,0,0,45, United-States, <=50K
35, Private, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
31, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
46, Private, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
38, State-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, United-States, <=50K
51, Private, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Canada, <=50K
27, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,45, United-States, <=50K
22, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, >50K
72, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Cuba, <=50K
25, Private, Bachelors,13, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
23, Private, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
63, Private, 5th-6th,3, Widowed, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,19, Philippines, <=50K
23, Private, 9th,5, Separated, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
75, Private, Preschool,1, Never-married, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,48, Philippines, <=50K
52, Private, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
69, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,10, United-States, <=50K
52, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Federal-gov, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
34, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
21, State-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,8, United-States, <=50K
30, Private, Bachelors,13, Never-married, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
46, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,1902,40, United-States, <=50K
21, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, <=50K
44, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, State-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,3908,0,40, United-States, <=50K
40, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,32, United-States, <=50K
33, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,37, United-States, <=50K
22, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
23, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
75, Self-emp-not-inc, Some-college,10, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,30, United-States, <=50K
55, Private, 11th,7, Widowed, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
45, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,27828,0,56, United-States, >50K
31, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
49, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
26, Local-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,3103,0,50, United-States, <=50K
44, Private, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,3908,0,50, United-States, <=50K
28, Local-gov, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
79, Private, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
51, Private, HS-grad,9, Divorced, Other-service, Other-relative, Black, Female,0,0,30, United-States, <=50K
44, Self-emp-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad,9, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
23, Private, 12th,8, Never-married, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
25, Private, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
48, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Black, Male,0,0,8, United-States, <=50K
18, Private, 11th,7, Never-married, Other-service, Other-relative, Black, Female,0,0,24, United-States, <=50K
25, Private, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,2176,0,45, United-States, <=50K
26, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2002,40, United-States, <=50K
33, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
42, Private, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
